first_index,all_indices,title_hi,title_en,youtube_url,tags
584,584,सरस्वती वंदना (या कुन्देन्दु..),Saraswati Vandana (Ya Kundendu..),https://youtu.be/cArR7W_jJZo?si=z1WuUejVE4IlmvIW,"Knowledge, Stuti"
585,585,गणेश स्तुति (गजाननं भूत..),Ganesh Stuti (Gajananm Bhut..),https://youtu.be/6fl5JFL-SoA?si=q5d9ZR9bNuB-cEot,"GaneshJi, Knowledge, Shloka, Stuti"
586,586,गुरु वंदना (गुरुर्ब्रह्मा..),Guru Vandana (Gururbrahma..),https://youtube.com/shorts/ycvqpPFyQSU?si=tJjnZm6QMTDBoMPY,"Knowledge, PoojaKeSamay, Stuti"
587,587,हनुमान बुद्धि स्तुति,Hanuman Buddhi Stuti,https://youtu.be/OOS-Pcovi-4?si=vJZVLePUjRe5jde6,"HanumanJayanti, Knowledge, Mantra, Stuti"
588,588,ब्रह्मा स्तुति,Brahma Stuti,https://youtu.be/RjhWu8pb7DQ?si=S6kq1SUlsBfnVw3G,"Knowledge, Stuti"
589,589,विष्णु स्तुति (शान्ताकारं..),Vishnu Stuti (Shantakaram..),https://youtu.be/XAxNnRPoyiU?si=SzEsaZlOfS48Hd-b,"Diwali, Knowledge, Mantra, Stuti, VishnuJi"
590,590,राम स्तुति (श्री रामचन्द्र..),Ram Stuti (Shri Ramchandra..),https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,"Aarti, Bhajan, Diwali, Dussehra, Happiness, Health, Knowledge, Peace, RamNavami, Strotam, Stuti, Success"
591,591,गायत्री स्तुति,Gayatri Stuti,https://youtu.be/280OQORjOWE?si=iEGVbkNeKDcS6Tma,"Knowledge, Stuti"
592,592,कृष्ण स्तुति (कस्तूरी तिलकम..),Krishna Stuti (Kasturi Tilakam..),https://youtu.be/f_tCqLX6GNU?si=g9esdPlr_XnbbTWa,"Happiness, Knowledge, LoveAndRelationship, Peace, Stuti"
593,593,बृहस्पति स्तुति,Brihaspati Stuti,https://youtu.be/R15QXx7yRUo?si=F8f5-iFv9tBh6OJx,"Knowledge, Strotam, Stuti"
594,594,गुरु श्लोक,Guru Shlok,https://youtu.be/jXPk7TnZC4c?si=3IMkISoz8uz7DN_R,"Knowledge, Mantra, Peace, Shloka"
595,595,विद्या श्लोक,Vidya Shlok,https://youtu.be/FkDW6dXWO28?si=-CWnd9BTactQtoaP,"Knowledge, Shloka"
596,596,चाणक्य नीति,Chanakya Niti,https://youtube.com/shorts/tF0E-LA9nP8?si=hJ-oqm05sw8P2cZ2,"Knowledge, Shloka"
597,597,भगवद गीता,Bhagwad Gita,https://youtu.be/UdrEhU_jLyk?si=QZ85FFVF-TgBfXdT,"Knowledge, Shloka"
598,598,सुभाषित,Subhashit,https://www.youtube.com/live/WcwEhTTriss?si=Dh9sO1uTln8j1gZz,"Knowledge, Shloka"
599,599,वैदिक विद्या,Vedic Vidya,https://youtube.com/shorts/vp2Wp1mtb7o?si=94qjGBD7qZDFoWA3,"Knowledge, Peace, Shloka"
