group_id,youtube_url,count,index,title_hi,title_en,tags
184,https://youtu.be/hiBxKwtn08Q?si=2-hlooiVaBcLrIbb,2,599,या देवी सर्वभूतेषु शक्ति-रूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥,Ya Devi Sarvabhuteshu Shakti-Rupena Samsthita. Namastasyai Namastasyai Namastasyai Namo Nomah.,Mantra|DurjaJi
185,https://youtu.be/hy_UKySqiNo?si=WO1ouxTrWAya94GP,2,50,छम छम नाचे वीर हनुमान,Chham Chham Nache Veer Hanuman,Bhajan|HanumanJi
185,https://youtu.be/hy_UKySqiNo?si=WO1ouxTrWAya94GP,2,486,छम छम नाचे वीर हनुमान,Chham Chham Nache Veer Hanuman,HanumanJi|Bhajan
186,https://youtu.be/i6rDYxNpubk?si=Z1cSGYW4UCmuEsd6,2,16,हे शम्भू बाबा मेरे भोले नाथ,He Shambhu Baba Mere Bhole Nath,Bhajan|Shivji
186,https://youtu.be/i6rDYxNpubk?si=Z1cSGYW4UCmuEsd6,2,452,हे शम्भू बाबा मेरे भोले नाथ,He Shambhu Baba Mere Bhole Nath,Bhajan|Shivji
187,https://youtu.be/iEAPaA9Yf1s?si=lGmdeqXsCqtQQzx1,2,2,रुद्र मंत्र,Rudra Mantra,Mantra|Shivji
187,https://youtu.be/iEAPaA9Yf1s?si=lGmdeqXsCqtQQzx1,2,438,रुद्र मंत्र,Rudra Mantra,Mantra|Shivji
188,https://youtu.be/iEIJBAKx0wI?si=bBiJfhIDY2Psljnj,2,25,क्यों मिला था चंद्रमा को श्राप ?,Kyon Mila Tha Chandrama Ko Shrap?,Katha|Shivji
188,https://youtu.be/iEIJBAKx0wI?si=bBiJfhIDY2Psljnj,2,461,क्यों मिला था चंद्रमा को श्राप ?,Kyon Mila Tha Chandrama Ko Shrap?,Katha|Shivji
189,https://youtu.be/iRVIbOMymj0?si=p9yfDWWAsb63wtMq,2,602,शांति मंत्र,Shanti Mantra,Katha|DurjaJi|BhojanSePehle
189,https://youtu.be/iRVIbOMymj0?si=p9yfDWWAsb63wtMq,2,813,शांति मंत्र,Shanti Mantra,Aarti|Happiness|DurjaJi|BhojanSePehle
190,https://youtu.be/iZkxNZpqQ4s?si=8wxeb0gCobXxfiQH,2,132,विष्णु जी और माता लक्ष्मी के विवाह की कथा,Vishnu Ji Aur Mata Lakshmi Ke Vivah Ki Katha,Katha|VishnuJi
190,https://youtu.be/iZkxNZpqQ4s?si=8wxeb0gCobXxfiQH,2,566,विष्णु जी और माता लक्ष्मी के विवाह की कथा,Vishnu Ji Aur Mata Lakshmi Ke Vivah Ki Katha,Katha|VishnuJi
191,https://youtu.be/ib4O0n3PH8o?si=gM39DNbgDuWKfvFA,2,128,समुद्र मंथन की कथा:,Samudra Manthan Ki Katha:,Katha|VishnuJi
191,https://youtu.be/ib4O0n3PH8o?si=gM39DNbgDuWKfvFA,2,562,समुद्र मंथन की कथा:,Samudra Manthan Ki Katha:,Katha|VishnuJi
192,https://youtu.be/jXPk7TnZC4c?si=3IMkISoz8uz7DN_R,2,613,गुरु मंत्र,Guru Mantra,Katha|DurjaJi
192,https://youtu.be/jXPk7TnZC4c?si=3IMkISoz8uz7DN_R,2,718,गुरु श्लोक,Guru Shlok,Katha|Knowledge|Strength|DurjaJi
193,https://youtu.be/kOgaTaFcgjU?si=JDvMuvOFUXbD0Icu,2,695,सूर्य प्रज्ञा मंत्र,Surya Pragya Mantra,Katha|Knowledge|DurjaJi
193,https://youtu.be/kOgaTaFcgjU?si=JDvMuvOFUXbD0Icu,2,875,सूर्य मंत्र,Surya Mantra,Aarti|DurjaJi
194,https://youtu.be/kbMinfmC3E0?si=EORk1j1UQxAqRLLu,2,407,ओ पालनहारे,O Palanhare,Aarti|DurjaJi
194,https://youtu.be/kbMinfmC3E0?si=EORk1j1UQxAqRLLu,2,893,ओ पालनहारे,O Palanhare,Aarti|DurjaJi
195,https://youtu.be/kt9-B0uUmRY?si=Or6uohC4Z_ZY7DZ5,2,109,विष्णु पंजर स्तोत्रम्,Vishnu Panjar Stotram,Strotam|VishnuJi
195,https://youtu.be/kt9-B0uUmRY?si=Or6uohC4Z_ZY7DZ5,2,543,विष्णु पंजर स्तोत्रम्,Vishnu Panjar Stotram,Strotam|VishnuJi
196,https://youtu.be/kxxhO92X8ro?si=kI__HcFg2zNoXZn2,2,61,वक्रतुण्ड महाकाय मंत्रा,Vakratunda Mahakaya Mantra,Mantra|GaneshJi
196,https://youtu.be/kxxhO92X8ro?si=kI__HcFg2zNoXZn2,2,497,वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ।,Vakratunda Mahakaya Suryakoti Samaprabha.,Mantra|GaneshJi
197,https://youtu.be/log_B4nMkH0?si=T7hhpGvgFFSaNdjq,2,428,सरस्वती स्तोत्र,Saraswati Stotra,Aarti|DurjaJi
197,https://youtu.be/log_B4nMkH0?si=T7hhpGvgFFSaNdjq,2,699,नील सरस्वती स्तोत्र,Neel Saraswati Stotra,Katha|Strength|DurjaJi
198,https://youtu.be/m0VD0vSXNXQ?si=rYvcj8atb4ReJtxk,2,309,कर्मण्येवाधिकारस्ते,Karmanyevadhikaraste,Shloka|KrishnaJi
198,https://youtu.be/m0VD0vSXNXQ?si=rYvcj8atb4ReJtxk,2,900,कर्म श्लोक,Karm Shlok,Aarti|Success|Happiness|DurjaJi
199,https://youtu.be/m3P-UtGt3Ts?si=wee1Hbb2XDZh_r50,2,158,लक्ष्मी मैया है तुमसे,Lakshmi Maiya Hai Tumse,Bhajan|LakshmiJi
199,https://youtu.be/m3P-UtGt3Ts?si=wee1Hbb2XDZh_r50,2,592,लक्ष्मी मैया है तुमसे,Lakshmi Maiya Hai Tumse,Bhajan|LakshmiJi
200,https://youtu.be/m8hvtU9Lzzk?si=Y9IBp48e1VidVKd4,2,138,श्री सिद्ध लक्ष्मी मंत्र,Shri Siddha Lakshmi Mantra,Mantra|LakshmiJi
200,https://youtu.be/m8hvtU9Lzzk?si=Y9IBp48e1VidVKd4,2,572,श्री सिद्ध लक्ष्मी मंत्र,Shri Siddha Lakshmi Mantra,Mantra|LakshmiJi
201,https://youtu.be/nLUmRxc6140?si=tDzujtf2OLcvCbDf,2,87,घर में पधारो,Ghar Mein Padharo,Bhajan|GaneshJi
201,https://youtu.be/nLUmRxc6140?si=tDzujtf2OLcvCbDf,2,521,घर में पधारो गजानंद जी मेरे घर में पधारो,Ghar Mein Padharo Gajanand Ji Mere Ghar Mein Padharo,Bhajan|GaneshJi
202,https://youtu.be/ntpeQR7K0PI?si=4_9jjQ1cbxYs7wRa,2,608,बुद्ध मंत्र,Buddha Mantra,Katha|DurjaJi
202,https://youtu.be/ntpeQR7K0PI?si=4_9jjQ1cbxYs7wRa,2,819,बुद्ध मंत्र,Buddha Mantra,Aarti|Happiness|Knowledge|DurjaJi
203,https://youtu.be/oa1tHpermgU?si=VvSwaXWDjjjQ4FfT,2,27,शिव ने अपने ही पुत्र गणेश का सिर क्यों काटा?,Shiv Ne Apne Hi Putra Ganesh Ka Sir Kyon Kata?,Katha|Shivji
203,https://youtu.be/oa1tHpermgU?si=VvSwaXWDjjjQ4FfT,2,463,शिव ने अपने ही पुत्र गणेश का सिर क्यों काटा?,Shiv Ne Apne Hi Putra Ganesh Ka Sir Kyon Kata?,Katha|Shivji
204,https://youtu.be/qR-PxhTOZXY?si=ZBtgkGLQ_x7io_NN,2,141,ॐ ह्रीं ह्रीं श्री लक्ष्मी वासुदेवाय नम:।,Om Hreem Hreem Shri Lakshmi Vasudevaya Namah.,Mantra|LakshmiJi
204,https://youtu.be/qR-PxhTOZXY?si=ZBtgkGLQ_x7io_NN,2,575,ॐ ह्रीं ह्रीं श्री लक्ष्मी वासुदेवाय नम:।,Om Hreem Hreem Shri Lakshmi Vasudevaya Namah.,Mantra|LakshmiJi
205,https://youtu.be/r-8-0OwqDjE?si=UMvZ1OKIqCgV3z5I,2,85,विघ्नेश्वराय वरदाय श्लोक,Vighneshwaraya Varadaya Shloka,Shloka|GaneshJi
205,https://youtu.be/r-8-0OwqDjE?si=UMvZ1OKIqCgV3z5I,2,519,विघ्नेश्वराय वरदाय,Vighneshwaraya Varadaya,Shloka|GaneshJi
206,https://youtu.be/r7GJ8GoGSD8?si=5vKJpH3tM6QoFwzl,2,42,आरती कीजै हनुमान लला की,Aarti Keeje Hanuman Lala Ki,Aarti|HanumanJi
206,https://youtu.be/r7GJ8GoGSD8?si=5vKJpH3tM6QoFwzl,2,478,आरती कीजै हनुमान लला की,Aarti Keeje Hanuman Lala Ki,Aarti|HanumanJi
207,https://youtu.be/rzAm4kvEDbc?si=esY2jKOVx-Z2hH93,2,86,अभीप्सितार्थ सिद्धयर्थं श्लोक,Abhipsitarth Siddhyartham Shloka,Shloka|GaneshJi
207,https://youtu.be/rzAm4kvEDbc?si=esY2jKOVx-Z2hH93,2,520,अभीप्सितार्थ सिद्धयर्थं,Abhipsitartha Siddhyartham,Shloka|GaneshJi
208,https://youtu.be/sDhrWWWBQLI?si=x0qKB6U3A5R2FSQr,2,48,दुनिया चले न श्री राम के बिना,Duniya Chale Na Shri Ram Ke Bina,Bhajan|HanumanJi
208,https://youtu.be/sDhrWWWBQLI?si=x0qKB6U3A5R2FSQr,2,484,दुनिया चले न श्री राम के बिना,Duniya Chale Na Shri Ram Ke Bina,HanumanJi|Bhajan
209,https://youtu.be/sHjD9ChjUsU?si=kj5RxANqbh9URRDf,2,63,संकट नाशक मंत्र,Sankat Nashak Mantra,Mantra|GaneshJi
209,https://youtu.be/sHjD9ChjUsU?si=kj5RxANqbh9URRDf,2,499,संकट नाशक मंत्र,Sankat Nashak Mantra,Mantra|GaneshJi
210,https://youtu.be/sIPwrMosN9k?si=3QzMTb-otB4uncz-,2,151,महालक्ष्मी स्तवनम्,Mahalakshmi Stavanam,Stuti|LakshmiJi
210,https://youtu.be/sIPwrMosN9k?si=3QzMTb-otB4uncz-,2,585,महालक्ष्मी स्तवनम्,Mahalakshmi Stavanam,Stuti|LakshmiJi
211,https://youtu.be/uY5YAvygOJs?si=8dBC9W82qOAvOxTd,2,17,चलो शिव शंकर के मंदिर में भक्तों,Chalo Shiv Shankar Ke Mandir Mein Bhakto,Bhajan|Shivji
