group_id,count,title_hi,title_en,tags_sorted,content_urls,indexes
47,2,श्री राम अष्टकम,Shri Ram Ashtakam,Ashtakam|Ramji,https://youtu.be/EvfGBluQkSk?si=6DRbdUZBZsWzEX86,202|645
48,2,श्री रामचंद्र कृपालु भजु मन:,Shri Ramachandra Kripalu Bhaju Man:,Ramji|Stuti,https://youtu.be/igJHuojQHeo?si=B6vk7vi5KYW6nhYO,203|646
49,2,जानकी स्तुति,Janki Stuti,Ramji|Stuti,https://youtu.be/RlNJspksnbg?si=jjexZNZPhPFgs0np,204|647
50,2,श्री रामचंद्र जी की आरती:,Shri Ramachandra Ji Ki Aarti:,Aarti|Ramji,https://youtu.be/J5cllhBiAV0?si=eZFJ95kTQoYeJ4UH,205|648
51,2,जग जननी सीता माता की आरती,Jag Janani Sita Mata Ki Aarti,Aarti|Ramji,https://youtu.be/mrH_rSZnxdU?si=lYdSNjCKgNuKEo-j,206|649
52,2,आरती श्री रामायण जी की,Aarti Shri Ramayan Ji Ki,Aarti|Ramji,https://youtu.be/FVdX-ZhTR4w?si=4dtkjJ7jPjADBS8i,207|650
53,2,आरती श्री रघुवर लाला की,Aarti Shri Raghuvar Lala Ki,Aarti|Ramji,https://youtu.be/onCk_r8OPe4?si=IuxtvhlHTntByscC,208|651
54,2,आरती अवध बिहारी की,Aarti Avadh Bihari Ki,Aarti|Ramji,https://youtu.be/ut6AHW2stnk?si=Ri_AUS3fsqwYS3Qb,209|652
55,2,नीलाम्बुज श्यामल,Nilambuja Shyamala,Ramji|Shloka,https://youtu.be/cqzJBHFeI0Y?si=ahqCNpljz7KMS64U,210|653
56,2,रामाय रामभद्राय,Ramaya Ramabhadraya,Ramji|Shloka,https://youtu.be/Hcljk3ygbVc?si=oQ__JrPUy6l5dJrn,211|654
57,2,लोकाभिरामं रणरंगधीरं,Lokabhiramam Ranarangadhiram,Ramji|Shloka,https://youtu.be/BzUBWzgXJnc?si=VOpDb7Yr370nkHUN,212|655
58,2,पायो जी मैंने राम रतन धन पायो,Payo Ji Maine Ram Ratan Dhan Payo,Bhajan|Ramji,https://youtu.be/pRjGwMSqjZo?si=paIzNVFEfqMABUaj,214|657
59,2,ठुमक चलत रामचंद्र बाजत पैंजनिया,Thumak Chalat Ramchandra Bajat Painjaniya,Bhajan|Ramji,https://youtu.be/PT1CwFIoc98?si=xAYsyfQq1WC7E0z_,215|658
60,2,श्री राम जानकी बैठे हैं मेरे सीने में,Shri Ram Janki Baithe Hain Mere Seene Mein,Bhajan|Ramji,https://youtu.be/jxtDNKTnmqY?si=wElShzcNXxs7zp4R,216|659
61,2,रघुपति राघव राजा राम,Raghupati Raghav Raja Ram,Bhajan|Ramji,https://youtu.be/Gtfufkz68KM?si=exIeaIdkt21gExXk,217|660
62,2,राम कहानी सुनो रे राम कहानी,Ram Kahani Suno Re Ram Kahani,Bhajan|Ramji,https://youtu.be/raAgqGKgIU8?si=imd0TcZyq9jAJfNN,218|661
63,2,नगरी हो अयोध्या सी,Nagari Ho Ayodhya Si,Bhajan|Ramji,https://youtu.be/ZkKStVgGEJY?si=LGnO8DtUL_iEf1ei,219|662
64,2,राम जी की निकली सवारी,Ram Ji Ki Nikli Sawari,Bhajan|Ramji,https://youtu.be/bZ-Zrc-GPoc?si=pLzw80vTt6ty2tJt,220|663
