youtube_video_id,unique_exact_url_count,unique_exact_urls_sample,line_numbers_sample
8xvbnfVIJL4,2,https://youtu.be/8xvbnfVIJL4?si=_w4OfD0T9j_4Ro1r|https://youtu.be/8xvbnfVIJL4?si=nj45iNF3J8MaTlA_,775|1411
AXDLxXIbxAs,2,https://youtu.be/AXDLxXIbxAs?si=61Ag66LJRXixtINz|https://youtu.be/AXDLxXIbxAs?si=LRLn7ZBIQYzSWhry,80|123
BBV0HQI3NB4,2,https://youtu.be/BBV0HQI3NB4?si=LjPC9hE-1m_fAsBa|https://youtu.be/BBV0HQI3NB4?si=hqwyrr6ZWl8nXuSc,828|1064|1135|1201
BL5lLnsLUrA,2,https://youtu.be/BL5lLnsLUrA?si=gbst_MpkoyNGs-vd|https://youtu.be/BL5lLnsLUrA?si=tKilMUx3mU_eIVe5,331|1296
BzPbfftJ8Ho,2,https://youtu.be/BzPbfftJ8Ho?si=D5a89g51GA88L_N_|https://youtu.be/BzPbfftJ8Ho?si=P8Ys7ZeqbXwkIgDP,822|1544
CAc9h7oTjrM,2,https://youtu.be/CAc9h7oTjrM?si=VVFbSow3YEgGraj0|https://youtu.be/CAc9h7oTjrM?si=oeZgKcwyJsEpKqOo,261|709
DCkMeVhmiC4,2,https://youtu.be/DCkMeVhmiC4?si=jcdhcguIvw6rcsQE|https://youtu.be/DCkMeVhmiC4?si=yxxvmUMREHx5iv2a,581|1337
EMO1AT1UQf0,2,https://youtu.be/EMO1AT1UQf0?si=MkZfeLJzerN3VqU3|https://youtu.be/EMO1AT1UQf0?si=YEPhm4K955xBp6RB,552|1316
EkAUXHqqaLk,2,https://youtu.be/EkAUXHqqaLk?si=b2ZaLaeUWX9IOTP5|https://youtu.be/EkAUXHqqaLk?si=c4jgf8zmawRwmVRl,235|1002
EvfGBluQkSk,2,https://youtu.be/EvfGBluQkSk?si=6DRbdUZBZsWzEX86|https://youtu.be/EvfGBluQkSk?si=7z6NrixCl74aIvH_,406|766|1373|1502
GiUkwTxsaYA,2,https://youtu.be/GiUkwTxsaYA?si=cScu8MSnQaP0GaX3|https://youtu.be/GiUkwTxsaYA?si=tAnNkeZ1LrxBim0v,504|1481
HeqiNrjiCfk,2,https://youtu.be/HeqiNrjiCfk?si=EyUBWgbK16-rLLp0|https://youtu.be/HeqiNrjiCfk?si=euAnm4LHlwCrPpSH,288|931|1264
Ik_zhFLWVA0,2,https://youtu.be/Ik_zhFLWVA0?si=VDJeXDG4eTL8qrcf|https://youtu.be/Ik_zhFLWVA0?si=cC6xuVXf48XoS0dP,279|1047
Im5TK-glA9M,2,https://youtu.be/Im5TK-glA9M?si=9nkexVkWvXGF3cUA|https://youtu.be/Im5TK-glA9M?si=HrtM-508EyU_APJO,227|776|1017|1072|1145|1215
JGi64RoqZ9g,2,https://youtu.be/JGi64RoqZ9g?si=LzuKJAoqe1TsPcav|https://youtu.be/JGi64RoqZ9g?si=rwucrFkEivitDdFo,143|1558
Ly_Md1OOyTE,2,https://youtu.be/Ly_Md1OOyTE?si=nCT-_G7dkRiPuF7QQ|https://youtu.be/Ly_Md1OOyTE?si=ni-k1rrLMF2suMfD,9|989|1406
MJwg2dRnBeQ,2,https://youtu.be/MJwg2dRnBeQ?si=fQFON7tpoz66jfCP|https://youtu.be/MJwg2dRnBeQ?si=tgA7oiR_v6rXAlZV,1116|1171
MtbVsknZP-A,2,https://youtu.be/MtbVsknZP-A?si=EpGnCXoRWCCtKUhi|https://youtu.be/MtbVsknZP-A?si=uMbJViu_PvND-iuY,444|1391
MuVrsDfgwI0,2,https://youtu.be/MuVrsDfgwI0?si=TpM7uKaIrn00Acbk|https://youtu.be/MuVrsDfgwI0?si=ttg63rMJqtDATiJg,221|267
NE3SWh9_vR4,2,https://youtu.be/NE3SWh9_vR4?si=oJOVnsbkOB7Qxw5b|https://youtu.be/NE3SWh9_vR4?si=z8FGFGAzZeFHBd2I,256|1146|1217|1275|1319|1363
Naruxgq6oMU,2,https://youtu.be/Naruxgq6oMU?si=FcMrbfkDJoW6MNjX|https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-,151|450|735|754|868|1058|1181|1266|1446
O0dGIsqbMsw,2,https://youtu.be/O0dGIsqbMsw?si=YMDdBnbEnw14QNiR|https://youtu.be/O0dGIsqbMsw?si=shotKSeK8r1k9C7N,600|648
OOS-Pcovi-4,2,https://youtu.be/OOS-Pcovi-4?si=SyvUORCDLtjdVH2F|https://youtu.be/OOS-Pcovi-4?si=vJZVLePUjRe5jde6,897|1532
OV9LXGOXjgs,2,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343|https://youtu.be/OV9LXGOXjgs?si=9xpVAx95c3g2zoh6,6|732|812|1056|1113|1167|1400|1419
PT1CwFIoc98,2,https://youtu.be/PT1CwFIoc98?si=Il-i74wqg1etBqxF|https://youtu.be/PT1CwFIoc98?si=xAYsyfQq1WC7E0z_,427|1288|1383
PeYGaeORoOY,2,https://youtu.be/PeYGaeORoOY?si=Czecw7q3IkVzA55C|https://youtu.be/PeYGaeORoOY?si=ONsUR5ezqmmko8O0,156|455
PvdeDNeCiQc,2,https://youtu.be/PvdeDNeCiQc?si=GEiACiPyXCFv9oen|https://youtu.be/PvdeDNeCiQc?si=T6FiME_l0gc5pd7S,543|768|1004
R15QXx7yRUo,2,https://youtu.be/R15QXx7yRUo?si=F8f5-iFv9tBh6OJx|https://youtu.be/R15QXx7yRUo?si=aCpS8BKqgcMwoOqs,885|903
RDWtngDhknA,2,https://youtu.be/RDWtngDhknA?si=6BoczvScrpmaOros|https://youtu.be/RDWtngDhknA?si=WCTJjON7OPrv6Hdy,320|939
RlNJspksnbg,2,https://youtu.be/RlNJspksnbg?si=RCael-63gpq5zKU4|https://youtu.be/RlNJspksnbg?si=jjexZNZPhPFgs0np,410|1012
S980-z1qx3g,2,https://youtu.be/S980-z1qx3g?si=mdxNJBopqX3nNpBz|https://youtu.be/S980-z1qx3g?si=skvwCt7XGHenuWbP,12|833|1410
UJZZyryDK00,2,https://youtu.be/UJZZyryDK00?si=pS4DwK9XFn84QOnQ|https://youtu.be/UJZZyryDK00?si=rnb6ybLJ1g19xgWw,676|773
