video_id,title_key,first_index,member_indices,old_tags_first,new_tags_first,map_tags,map_unique_titles_norm,status
r66ySZ7iipM,jayanti mangala kali,336,"336,366",Mantra|DurjaJi,Mantra|DurjaJi,DurjaJi|Mantra|Shloka,जयन्ती मङ्गला काली भद्रकाली कपालिनी। दुर्गा क्षमा शिवा धात्री स्वाहा स्वधा नमोऽस्तु ते॥|ॐ जयन्ती मङ्गला काली भद्रकाली कपालिनी। दुर्गा क्षमा शिवा धात्री स्वाहा स्वधा नमोऽस्तुते॥,skipped_multi_title_map
fsMzgFMMGxA,shri durga chalisa,348,"348,434",Chalisa|DurjaJi,Chalisa|DurjaJi,Chalisa|DurjaJi|Strength|Success,दुर्गा चालीसा|श्री दुर्गा चालीसा,skipped_multi_title_map
3yczGKnskts,achyutam keshavam,397,"397,677,852,950,996",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Diwali|Happiness|Health|Janmashtami|KrishnaJi|LoveAndRelationship|Mantra|Peace|Stuti|Success|VishnuJi,अच्युतम केशवम|अच्युतम केशवम कृष्ण दामोदरम,skipped_multi_title_map
61EGpAy4Ids,radhe radhe barsane wali,398,"398,851",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Happiness|LoveAndRelationship,राधे राधे बरसाने वाली,skipped_single_title_mismatch
dnCE-kSHES0,aisi lagi lagan,399,"399,860,945",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Happiness|Janmashtami|LoveAndRelationship|Success,ऐसी लागी लगन|ऐसी लागी लगन मीरा हो गई मगन,skipped_multi_title_map
XtTG7iT7H3g,shyama aan baso,404,"404,853",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Happiness|LoveAndRelationship,श्यामा आन बसो,skipped_single_title_mismatch
kbMinfmC3E0,o palanhare,407,"407,946",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Happiness|Health|Success,ओ पालनहारे,skipped_single_title_mismatch
C9EespXQCGE,mera aapki kripa se,408,"408,947",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Happiness|Health|Success,मेरा आपकी कृपा से,skipped_single_title_mismatch
3EnLaJKhO2A,itni shakti humein dena data,423,"423,943",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Health|Success,इतनी शक्ति हमें देना दाता,skipped_single_title_mismatch
7BEYmt8EeX8,mahalakshmi ashtakam,425,"425,969,976",Aarti|DurjaJi,Aarti|DurjaJi,Ashtakam|Diwali|Mantra|Shloka|Strotam|Success|Wealth,नमो नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते|महालक्ष्मी अष्टकम,skipped_multi_title_map
