youtube_url,youtube_video_id,tags,occurrence_count,line_numbers,titles
https://www.youtube.com/live/IhBouQi3D9Q?si=jENRpKbSc3oDZxDg,IhBouQi3D9Q,Mantra|VishnuJi,1,223,ॐ ह्रीं कार्तवीर्यार्जुनो नाम राजा बाहु सहस्रवान। यस्य स्मरेण मात्रेण हृतं नष्टं च लभ्यते॥
https://www.youtube.com/live/WcwEhTTriss?si=Dh9sO1uTln8j1gZz,WcwEhTTriss,Knowledge|Shloka,1,911,सुभाषित
https://youtu.be/-1udu-1LpOo?si=pmbGDDSFyq5uJhX0,-1udu-1LpOo,Katha|Mantra|Peace|Ramji|Wealth,3,387|749|1489,राम मंत्र | विजय मंत्र | श्री राम जय राम जय जय राम
https://youtu.be/-2zGr9Q91DI?si=gMHKwO6c9ve5z6m4,-2zGr9Q91DI,GaneshJi|Katha,1,511,कौनसा श्राप मिला चंद्रदेव को श्री गणेशजी द्वारा ?
https://youtu.be/-AXtzS1ytAc?si=5FAkilAIp3wx-dXp,-AXtzS1ytAc,Katha|KrishnaJi,1,584,माखन चोरी लीला
https://youtu.be/-AbMZAESCQI?si=de-o6-JvfKhPqhZn,-AbMZAESCQI,Katha|Wealth,1,1041,रुक्मिणी हरण कथा
https://youtu.be/-F8zV3pMZA0?si=dvF2Hygp_GMOwI5C,-F8zV3pMZA0,DurjaJi|Stuti,1,630,शैलपुत्री स्तुति (नवदुर्गा की प्रथम स्तुति)
https://youtu.be/-FvHYW5-fYM?si=opkQTKdooyDA3-Yb,-FvHYW5-fYM,Katha|Wealth,1,1490,राम गायत्री मंत्र
https://youtu.be/-JYk923PASE?si=wruS-9FuWwzEb6X5,-JYk923PASE,Bhajan|VishnuJi,1,269,सारे जहाँ के मालिक तेरा ही आसरा है
https://youtu.be/-NqX8zOZ62w?si=DWcjvgR9t3KYkz-D,-NqX8zOZ62w,Mantra|Peace|Shloka|Wealth,3,739|1184|1265,सरस्वती मंत्र
https://youtu.be/-NqX8zOZ62w?si=Gama0RD6ZBaBqVBt,-NqX8zOZ62w,Knowledge,1,872,नवग्रह सरस्वती
https://youtu.be/-YVDlWff_5o?si=NnLptGoA8ty1GuGv,-YVDlWff_5o,Katha|Wealth,1,1492,शांति मंत्र
https://youtu.be/-YVDlWff_5o?si=gNU9ViaghJWwBl-E,-YVDlWff_5o,Mantra|Ramji,1,386,ॐ राम रामाय नमः
https://youtu.be/-ZrQZp2y3PQ?si=hCx7LtL3gBXFjUBg,-ZrQZp2y3PQ,GaneshJi|Stuti,1,184,सिद्धिविनायक स्तुति
https://youtu.be/-fUdc_XQ_r8?si=KKo6QkS23XZzJqmh,-fUdc_XQ_r8,Katha|KrishnaJi,1,587,द्रोपदी चीर हरण एक दर्दनाक सत्य कहानी
https://youtu.be/-mUoM-sSzkc?si=a3TP0d2Z_b5S-kCr,-mUoM-sSzkc,Chalisa|Shivji|Strength,2,36|846,शिव चालीसा
https://youtu.be/-pr1RUnmvyI?si=2PVjdNGq0NJo_38s,-pr1RUnmvyI,Strotam|Wealth,1,999,अर्धनारीश्वर स्तोत्र
https://youtu.be/-rKAOaS7Q3I?si=l89QDnB3pqc2rsJx,-rKAOaS7Q3I,Aarti|DurjaJi,1,634,"जय अम्बे गौरी, मैया जय श्यामा गौरी (सबसे प्रसिद्ध)"
https://youtu.be/-y4wvehWSOM?si=ZvRpcq948PJcGRIX,-y4wvehWSOM,Peace|Shloka,1,791,गीता (अध्याय 6)
https://youtu.be/01mE3zDTifE?si=SoXuQjej3MBXv8AX,01mE3zDTifE,DurjaJi|Mantra,1,603,दुर्गा गायत्री
https://youtu.be/03goUB9QgHw?si=HmTzxNfNMtTs68Vp,03goUB9QgHw,Peace|Stuti,1,780,अपराध क्षमापन स्तुति
https://youtu.be/081bLdQKX-Q?si=msq2vM1Qng2BQD9H,081bLdQKX-Q,Ashtakam|Shivji,1,40,श्री रुद्राष्टकम् (संक्षिप्त अंश - तुलसीदास रचित)
