youtube_video_id,tags,occurrence_count,unique_url_count,sample_url,line_numbers,titles
1z4ohQ5wjVQ,BhojanKeBaad,1,1,https://youtube.com/shorts/1z4ohQ5wjVQ?si=qFSjLi160P6jWR1Q,702,चरणामृत मंत्र
25jTq5q9xTg,Mantra|Peace,1,1,https://youtu.be/25jTq5q9xTg?si=vzbCaQs5brOhmYv9,748,अहं ब्रह्मास्मि
280OQORjOWE,Knowledge|Stuti,1,1,https://youtu.be/280OQORjOWE?si=iEGVbkNeKDcS6Tma,901,गायत्री स्तुति
2GQ7t3b3PIM,GaneshJi|Stuti,2,2,https://youtu.be/2GQ7t3b3PIM?si=LoDVda5DZZXnfd-B,185|482,नमामि ते गजाननं | श्री गणेश स्तुति
2XpXPwJYoQ8,Bhajan|DurjaJi,1,1,https://youtu.be/2XpXPwJYoQ8?si=_vr7sS1wOceTQRuV,653,नंगे नंगे पांव चला आ गया री मैया
2dv4rUhuBEg,SoneSePehle,1,1,https://youtu.be/2dv4rUhuBEg?si=uTSd8zAclqdT1YTC,718,हनुमान मंत्र
2hUQyXzKgOo,Katha|Shivji,1,1,https://youtu.be/2hUQyXzKgOo?si=dvtDXcOirPxrEizn,69,नंदी कैसे बने शिवजी के सवारी
2nGciKbBAMY,ShaniiDevJi|Stuti,1,1,https://youtu.be/2nGciKbBAMY?si=-h41UQYsN1Tn89Ox,358,शनि वंदना:
32TGOFRIVmE,Health|Strotam,1,1,https://youtu.be/32TGOFRIVmE?si=LwFbGvQnd3VmykMC,1134,सूर्य मंडल स्तोत्र
3AwodovEc0k,DurjaJi|Stuti,1,1,https://youtu.be/3AwodovEc0k?si=9W4WxeT0tqcjxqYF,627,दुर्गा क्षमा प्रार्थना:
3EnLaJKhO2A,Bhajan|Health|Success,2,1,https://youtu.be/3EnLaJKhO2A?si=7gCDpVLnLz5KZhbG,1159|1229,इतनी शक्ति हमें देना दाता
3H_zLywdgvE,DurjaJi|Katha,1,1,https://youtu.be/3H_zLywdgvE?si=eWQbQtfcA4zP25oc,667,वैष्णो देवी की कथा:
3HwifzYsSeA,Bhajan|MahaShivratri,1,1,https://youtu.be/3HwifzYsSeA?si=3-gdKJEEngGEIV6f,1427,सत्यम शिवम सुंदरम
3Y1JGvieOBk,LakshmiJi|Strotam|Wealth,2,2,https://youtu.be/3Y1JGvieOBk?si=-Vziy6rODds0zN_H,297|937,कनकधारा स्तोत्र | कनकधारा स्तोत्र:
3_8Z1uqPWZ0,Shivji|Strotam,1,1,https://youtu.be/3_8Z1uqPWZ0?si=2Vlmkq5w0gw_xDCZ,29,वेदसार शिव स्तोत्रम्
3_QR2HxO3N4,Aarti|Dussehra,1,1,https://youtu.be/3_QR2HxO3N4?si=Yits6lNC08jSD5UK,1360,आरती कीजै रामलला की
3dmYdRgJsJ4,Strotam|VishnuJi,1,1,https://youtu.be/3dmYdRgJsJ4?si=G1IqQRXpQdgix2Pr,234,गजेन्द्र मोक्ष स्तोत्र:
3hNchYO61N0,DurjaJi|Shloka,1,1,https://youtu.be/3hNchYO61N0?si=6cEKmQN6_sHFHNOp,645,या देवी सर्वभूतेषु शक्तिरूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥
3rJ4HVA9cII,Shivji|Strotam|Success,2,1,https://youtu.be/3rJ4HVA9cII?si=euKFMGNZX2c0rt5p,21|1202,शिव पंचाक्षर स्तोत्र | शिव पंचाक्षर स्तोत्रम्:
3ucCEjXS9n8,Aarti|KrishnaJi,1,1,https://youtu.be/3ucCEjXS9n8?si=xmxtRMfp2MqjYvJP,558,जय जगदीश हरे
3yczGKnskts,Bhajan|Diwali|Happiness|Health|Janmashtami|KrishnaJi|LoveAndRelationship|Mantra|Peace|Stuti|Success|VishnuJi,10,3,https://youtu.be/3yczGKnskts?si=--z5nTrp4XW8mSRd,266|570|753|1025|1081|1156|1236|1287|1312|1325,अच्युतम केशवम | अच्युतम केशवम कृष्ण दामोदरम
4-XRc7ofCkM,LoveAndRelationship|Mantra|Wealth,2,2,https://youtu.be/4-XRc7ofCkM?si=X27vyybJleAeslG2,930|988,विष्णु लक्ष्मी मंत्र | विष्णु-लक्ष्मी मंत्र
45obOMbjQmA,Mantra|Strength,1,1,https://youtu.be/45obOMbjQmA?si=rFwfcxRCwRVFAbRY,816,गरुड़ शक्ति मंत्र
4CKpFcQdJXk,DurjaJi|Strength|Strotam,2,2,https://youtu.be/4CKpFcQdJXk?si=2OkdCoCBxDs78Tcv,614|829,महिषासुर मर्दिनी | महिषासुरमर्दिनी स्तोत्र
4PZzUru94JY,Shloka,1,1,https://youtu.be/4PZzUru94JY?si=unI0BALTYhAIdzmS,121,बुद्धिर्बलं यशो धैर्यं निर्भयत्वमरोगता।
4VqeqbzJxbc,Bhajan|Dussehra,1,1,https://youtu.be/4VqeqbzJxbc?si=0n0edKyje9U0o6le,1381,सुख के सब साथी
4lokTkaO9xs,Katha|Shivji,1,1,https://youtu.be/4lokTkaO9xs?si=C19AkxnlrW3NFtQ2,70,आखिर क्यों शिवपार्वती ने लिया था अर्धनारीश्वर रूप ?
4n1L6AQJe9w,Bhajan|LoveAndRelationship,1,1,https://youtu.be/4n1L6AQJe9w?si=hJNCIVTpZW79gT8h,1027,मीठे रस से भरयो री
5FU1Zb4oXc8,KrishnaJi|Stuti,1,1,https://youtu.be/5FU1Zb4oXc8?si=iLU2g9Q85rMkbpD_,548,श्री द्वारकाधीशजी की शयन स्तुति
5JMFiNOxejY,Bhajan|LakshmiJi,1,1,https://youtu.be/5JMFiNOxejY?si=owu81CB4a7qNA6-m,324,मेरे घर आओ मां लक्ष्मी
5arZWUzAQ2U,Mantra|Strength|Success,2,1,https://youtu.be/5arZWUzAQ2U?si=t1dIPuKyuZOw08Cb,814|1188,कार्तिकेय मंत्र
5fSrgIFS_EM,PoojaKeBaad,1,1,https://youtube.com/shorts/5fSrgIFS_EM?si=URx57pYNWGu7fTip,715,प्रदक्षिणा मंत्र
5hPQUvaahhg,DurjaJi|Strength|Strotam,2,2,https://youtu.be/5hPQUvaahhg?si=cqtLDH7VLQkac6QA,608|824,कीलक स्तोत्रम
5kYzdHgQ0Sc,LoveAndRelationship|Mantra,1,1,https://youtu.be/5kYzdHgQ0Sc?si=0oKvROBFY-KkJgc3,987,गौरी-शंकर मंत्र
61EGpAy4Ids,Bhajan|Happiness|LoveAndRelationship,2,1,https://youtu.be/61EGpAy4Ids?si=N2hWEO1airA1nztA,1024|1082,राधे राधे बरसाने वाली
62P8Q14nU0A,LoveAndRelationship|Strotam,1,1,https://youtu.be/62P8Q14nU0A?si=qD2LqxbE7pEEMdRw,1005,उमा महेश्वर स्तोत्र
6BJR_j4FHz4,Bhajan|Dussehra|Happiness|Health|RamNavami|Ramji|Success,6,1,https://youtu.be/6BJR_j4FHz4?si=hRLU-bLSvuuKWHgs,434|1087|1158|1230|1387|1518,राम नाम के हीरे मोती
6D1FdZczNXI,MahaShivratri|Strotam,1,1,https://youtu.be/6D1FdZczNXI?si=HhkiWFaq0I_CSFs-,1412,लिंगाष्टकम
6Jteav3K_NE,Bhajan|RamNavami,1,1,https://youtu.be/6Jteav3K_NE?si=dZWllCjfv1QFeiWq,1511,भए प्रगट कृपाला दीनदयाला
6LO2PRgbutc,Aarti|Bhajan|Janmashtami|KrishnaJi|RamNavami,3,3,https://youtu.be/6LO2PRgbutc?si=5jlVXHicQQJxmGEG,554|1318|1517,आरती श्री बांके बिहारी तेरी आरती गाऊं | बांके बिहारी की आरती | रघुबर तेरी आरती गाऊं
6Ncyh3vwtQI,Mantra|VishnuJi,1,1,https://youtu.be/6Ncyh3vwtQI?si=JS1uUNm_AsCNqZUZ,229,ॐ अचुताय नमः
6PfjQNc3J8M,GaneshJi|Katha,1,1,https://youtu.be/6PfjQNc3J8M?si=G20iarXyjqTOP0wI,213,महाभारत कैसे लिखी गई ?
6YC07U56lEE,Happiness|LoveAndRelationship|Mantra|Stuti,2,1,https://youtu.be/6YC07U56lEE?si=yMIUoQan-D0osO7O,985|1076,कात्यायनी मंत्र | कात्यायनी स्तुति
6em96KXH2uY,Aarti|KrishnaJi,1,1,https://youtu.be/6em96KXH2uY?si=3lnyN7ceeQdMOk9s,557,आरती जुगल किशोर की
6fl5JFL-SoA,GaneshJi|Knowledge|Shloka|Stuti,2,2,https://youtu.be/6fl5JFL-SoA?si=q5d9ZR9bNuB-cEot,196|894,गजाननं भूतगणादिसेवितं कपित्थजम्बूफलचारुभक्षणम्। उमासुतं शोकविनाशकारकं नमामि विघ्नेश्वरपादपंकजम्॥ | गणेश स्तुति (गजाननं भूत..)
6w3wN89oLfo,KrishnaJi|Mantra,1,1,https://youtu.be/6w3wN89oLfo?si=heaJxtbjFicJCK7E,527,गोवल्लभाय स्वाहा
7AOJUIx9dLE,GaneshJi|Strotam,1,1,https://youtu.be/7AOJUIx9dLE?si=iiZJAYQrRCv1tpsQ,465,गणेश कवच
7BEYmt8EeX8,Ashtakam|Diwali|Mantra|Shloka|Strotam|Success|Wealth,4,1,https://youtube.com/shorts/7BEYmt8EeX8?si=kqi58ODFW_qjBs1A,967|1196|1267|1280,नमो नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते | महालक्ष्मी अष्टकम
7MhfQOgWMyc,Bhajan|ShaniiDevJi,1,1,https://youtu.be/7MhfQOgWMyc?si=9-sfsnHXgLJw40qt,369,शनैश्वरा शनैश्वरा
7P7XuN_D2nQ,Ashtakam|LakshmiJi,1,1,https://youtu.be/7P7XuN_D2nQ?si=H9rP6H9jO-grHqXC,309,महालक्ष्म्यष्टकम्
7TMeGrAiYXg,Aarti|DurjaJi,1,1,https://youtu.be/7TMeGrAiYXg?si=trZ1yP_Ejvtw9smG,639,जय वैष्णव माता आरती
7VCiJ2N-1EA,KrishnaJi|Stuti,1,1,https://youtu.be/7VCiJ2N-1EA?si=Twq1UgJi0jETyqeg,547,राधा-कृष्ण युगल स्तुति
7_YKhtWKfX8,Katha|VishnuJi,1,1,https://youtu.be/7_YKhtWKfX8?si=AWwS-7AgfKFaduT9,280,गुरुवार व्रत कथा
7hpt3DFGsgk,Ashtakam|DurjaJi,1,1,https://youtu.be/7hpt3DFGsgk?si=45BB1NayOe2rS_lH,622,श्री दुर्गा अष्टकम्
7jwEnIwT_kk,Dussehra|Mantra,1,1,https://youtu.be/7jwEnIwT_kk?si=Mm_qCEbi9iNrHK62,1355,राम गायत्री मंत्र
7wsmGmotCIE,Strength|Strotam,1,1,https://youtu.be/7wsmGmotCIE?si=wo9dJcGTmbVuH9CG,838,महाकाली स्तोत्र
8-qBFaUbKfs,Knowledge|Shloka|Wealth,2,2,https://youtube.com/shorts/8-qBFaUbKfs?si=3v_PngXwBsh9bHST,916|974,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन | गीता श्लोक 2
897iHQ6bPbU,Dussehra|Katha,1,1,https://youtu.be/897iHQ6bPbU?si=yutaXaaJ0l7YzH9U,1392,महिषासुर मर्दन
8HTkpFKRqbw,Knowledge|Mantra|Shloka,2,2,https://youtube.com/shorts/8HTkpFKRqbw?si=gXDWT4gUuB1QS0Sj,867|913,विद्या प्राप्ति मंत्र | सरस्वती श्लोक
8SdAQcExa0E,DurjaJi|Katha,1,1,https://youtu.be/8SdAQcExa0E?si=ts9zw3Z2pRUl_coi,665,माता सती और 51 शक्तिपीठ की कथा
